dataset,fold,instance_idx,instance_id,selector_mode,instances_seen,initial_size,final_size,oracle_calls,wall_s,steps_add,steps_rem,buf_add,buf_rem,rem_n,rem_pos_rate,rem_logloss,rem_logloss_base,rem_skill,rem_auc,rem_brier,rem_successes,rem_tries_mean,rem_tries_median,rem_rank_adv,add_n,add_pos_rate,add_logloss,add_logloss_base,add_skill,add_auc,add_brier,add_successes,add_tries_mean,add_tries_median,add_rank_adv,rem_bce_ema,add_bce_ema,rem_listwise_ema,add_listwise_ema,rem_grad_norm_ema,add_grad_norm_ema,rem_update_norm_ema,add_update_norm_ema,rem_head_std,add_head_std,rem_dormant,add_dormant
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,153,1506,learned,153,12,1,20,1.77,171,2191,1259,2000,11,1,0.64226,1e-06,,,0.22461,11,1,1,-0.14708,0,,,,,,,0,,,,1.0051,,,,0.82882,,0.042459,,0.046906,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,154,1511,learned,154,7,7,1113,14.22,174,2194,1298,2000,99,0.032461,0.58025,0.1432,-3.0521,,0.17024,0,,,,120,0.0054385,0.72727,0.033782,-20.529,,0.26129,0,,,,1.0016,2.1124,,,0.54562,0.79682,0.036362,0.094725,0.14677,0.30385,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,155,1529,learned,155,4,2,23,0.52,175,2198,1298,2000,5,0.60362,0.65714,0.67152,0.021401,1,0.11685,2,1.5,2,0.35417,0,,,,,,,0,,,,1.0331,,1.0799,,1.3037,,0.054553,,0.19157,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,156,1531,learned,156,15,2,413,6,175,2211,1298,2000,65,0.46001,0.68804,0.68994,0.0027635,0.6798,0.040113,7,9,1,0.072364,0,,,,,,,0,,,,1.0602,,3.2158,,1.1807,,0.055086,,0.11948,,0,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,157,1535,learned,157,25,4,462,8.91,176,2237,1317,2000,60,0.37187,0.40742,0.65994,0.38264,1,0.099646,21,1.2381,1,0.13997,48,0.015552,0.86075,0.080184,-9.7346,,0.31778,0,,,,1.0058,2.1301,1.1254,,1.5459,1.0107,0.035744,0.10165,0.28964,0.2833,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,158,1541,learned,158,11,1,907,12.35,178,2249,1326,2000,133,0.25403,0.71507,0.56672,-0.26178,0.46457,0.10711,6,8,2,0.20833,41,0.21364,0.71427,0.51874,-0.37694,0.9,0.11089,1,41,41,,1.0403,2.1174,1.1401,,1.8226,0.91184,0.041665,0.10377,0.21756,0.32306,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,159,1548,learned,159,10,2,838,11.6,180,2259,1336,2000,122,0.093796,0.63511,0.31123,-1.0406,0.77436,0.17034,4,16.5,3,0.16944,60,0.061596,0.71607,0.23134,-2.0954,0.89831,0.22254,1,60,60,,1.0444,2.1003,1.0234,,1.947,0.79525,0.045743,0.10443,0.21616,0.3897,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,160,1557,learned,160,14,2,89,2.74,181,2275,1336,2000,23,0.59787,0.6871,0.67387,-0.01964,0.58333,0.19434,12,1.75,1,0.11661,0,,,,,,,0,,,,1.0414,,2.1771,,6.7447,,0.044889,,0.045327,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,161,1558,learned,161,13,1,26,2.26,181,2290,1336,2000,14,0.91887,0.6533,0.28153,-1.3205,0.45833,0.19509,12,1.1667,1,0.0051392,0,,,,,,,0,,,,1.0281,,1.1003,,0.99416,,0.03845,,0.084949,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,162,1559,learned,162,7,7,1113,14.87,184,2293,1373,2000,99,0.25355,0.70796,0.5662,-0.25037,,0.07165,0,,,,120,0.23986,0.73474,0.55092,-0.33365,,0.091079,0,,,,1.0836,2.1035,,,0.66306,0.73064,0.029544,0.10471,0.068397,0.29799,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,163,1566,learned,163,13,1,26,2.06,185,2308,1373,2000,14,0.88808,0.64256,0.35052,-0.83318,1,0.20106,12,1.1667,1,-0.0039459,0,,,,,,,0,,,,1.0468,,1.1233,,1.5761,,0.049378,,0.1788,,,
